months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_bind_date_year,policy_bind_date_month,policy_bind_date_day,incident_date_year,incident_date_month,incident_date_day,policy_to_incident_days,fraud_reported
77,26,357394,IL,250/500,2000,785.82,0,620207,MALE,JD,,movie,other-relative,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,hillsdale,9082 3rd lane,12,3,YES,2,0,NO,69080,12560,6280,50240,audi,a5,2009,2008,5,9,2015,1,7,2434,1
242,41,512894,OH,250/500,2000,1153.54,6000000,619657,MALE,Masters,,polo,unmarried,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,northbrook,6853 sky hwy,3,3,NO,0,1,NO,68090,12380,12380,43330,toyota,corolla,2009,1990,10,2,2015,2,12,8899,0
389,53,714738,IL,500/1000,2000,791.47,0,477260,MALE,Masters,,chess,unmarried,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,NC,riverwood,1617 rock drive,6,1,NO,1,2,NO,6300,630,1260,4410,mercedes,c300,2001,1998,3,21,2015,1,1,6130,1
255,39,143109,OH,250/500,500,1453.95,0,470389,FEMALE,PhD,,,not-in-family,38200,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,springfield,3443 maple ridge,17,3,YES,0,3,NO,29300,2930,5860,20510,audi,a3,2010,2001,7,9,2015,1,7,4930,0
4,39,498759,IL,100/300,1000,1326.98,6000000,450368,FEMALE,High School,,reading,unmarried,64200,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,northbend,2603 andromedia hwy,14,3,YES,1,3,NO,54120,4510,9020,40590,jeep,grand cherokee,2007,1996,9,5,2015,1,13,6704,0
142,29,890280,OH,100/300,2000,1307.68,0,606942,FEMALE,MD,,dancing,husband,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,columbus,1725 solo lane,10,1,YES,1,2,NO,54360,4530,9060,40770,mercedes,e400,1995,2010,1,24,2015,1,29,1831,1
475,61,607974,IL,500/1000,500,1265.72,0,612506,FEMALE,Masters,,paintball,wife,0,-59500,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,columbus,7797 tree ridge,23,1,YES,0,2,NO,64350,9900,9900,44550,mercedes,e400,1998,2004,8,12,2015,2,18,3842,0
239,42,246882,IL,100/300,1000,969.5,0,464839,MALE,College,,reading,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,nan,NC,northbrook,2430 mlk ave,10,1,NO,0,0,NO,5600,700,700,4200,audi,a3,2007,1999,9,20,2015,1,26,5607,0
270,41,639027,IL,250/500,1000,817.28,0,460263,MALE,High School,sale,,unmarried,62200,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,columbus,4095 mlk st,17,3,NO,1,1,NO,60190,4630,9260,46300,mercedes,ml350,2014,1994,6,21,2015,1,3,7501,1
69,26,593390,IL,100/300,2000,924.72,0,437688,FEMALE,High School,,,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,columbus,6104 oak ave,14,1,NO,2,2,NO,63120,5260,10520,47340,audi,a5,2008,2006,3,24,2015,1,7,3211,0
206,39,965768,IN,250/500,1000,1302.4,6000000,603948,MALE,JD,,dancing,unmarried,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,hillsdale,1598 3rd drive,12,3,NO,2,3,YES,36300,3300,9900,23100,ford,escape,2013,2014,7,27,2015,2,17,205,0
254,40,463513,IL,250/500,500,1390.89,5000000,453719,MALE,College,,,wife,0,-74400,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,riverwood,6467 best ave,23,1,NO,2,2,NO,53460,9720,4860,38880,volkswagen,jetta,2009,1995,4,23,2015,2,28,7251,0
289,49,933293,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,,golf,unmarried,0,0,Parked Car,Rear Collision,Minor Damage,nan,WV,arlington,6676 tree lane,16,1,NO,1,1,YES,5330,1230,820,3280,suburu,legacy,2001,1993,2,3,2015,1,18,8019,0
228,42,342868,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,,reading,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,riverwood,6608 mlk hwy,8,1,NO,0,0,NO,5070,780,780,3510,mercedes,e400,2007,2006,6,27,2015,1,21,3130,1
149,34,374545,IN,250/500,500,664.86,0,608963,FEMALE,PhD,,skydiving,wife,0,-60000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,columbus,5226 maple st,3,1,NO,0,1,NO,105040,16160,16160,72720,dodge,ram,1999,2005,8,28,2015,2,4,3447,0
143,34,847123,IL,100/300,500,1442.27,0,435100,MALE,College,,exercise,wife,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,columbus,9728 britain hwy,10,1,NO,2,3,YES,58500,11700,5850,40950,dodge,ram,1999,2014,3,19,2015,2,17,335,0
269,41,334749,OH,100/300,2000,1422.21,0,620507,FEMALE,Associate,,polo,unmarried,0,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,riverwood,5022 1st st,21,1,YES,2,1,NO,85900,17180,17180,51540,suburu,forrestor,2005,1996,7,29,2015,1,16,6745,1
274,44,771509,IN,500/1000,500,1395.58,0,466612,FEMALE,JD,,reading,husband,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,WV,springfield,4279 solo drive,7,1,NO,2,1,NO,5590,860,860,3870,bmw,x5,2000,2006,8,10,2015,2,5,3101,0
46,41,315041,OH,100/300,2000,998.19,0,611556,FEMALE,MD,,,husband,43700,-66300,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,hillsdale,5779 2nd lane,23,3,NO,1,3,NO,78600,13100,19650,45850,dodge,ram,2004,2010,11,2,2015,1,23,1543,1
151,37,931625,IN,250/500,500,1366.42,0,476198,FEMALE,Associate,,,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,arlington,6719 flute st,14,3,NO,1,2,YES,59100,5910,5910,47280,nissan,maximum,1998,2012,10,18,2015,2,15,850,1
152,33,107181,IN,250/500,500,942.51,0,478981,FEMALE,PhD,,exercise,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,hillsdale,3903 oak ave,16,1,YES,0,0,NO,70400,6400,19200,44800,suburu,legacy,2001,1999,11,14,2015,1,30,5556,1
431,54,419510,OH,100/300,1000,1372.27,0,436547,FEMALE,Masters,,paintball,own-child,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,columbus,1388 embaracadero hwy,13,3,NO,2,3,NO,63240,10540,10540,42160,suburu,forrestor,1997,1994,11,11,2015,1,8,7363,0
108,31,492224,IN,500/1000,2000,1175.7,0,608767,MALE,Masters,,yachting,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,columbus,5585 washington drive,14,1,NO,0,2,NO,57330,6370,6370,44590,dodge,neon,2006,2005,12,9,2015,2,19,3359,0
239,38,485642,OH,250/500,1000,1276.73,5000000,610246,FEMALE,Masters,,,other-relative,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,northbrook,4175 elm ridge,12,3,NO,1,3,NO,61920,6880,6880,48160,saab,93,2003,1990,8,25,2015,2,19,8944,0
165,36,427199,IL,250/500,2000,1247.87,0,464336,MALE,Masters,,golf,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,northbend,2469 francis lane,20,3,NO,2,2,NO,45700,4570,4570,36560,bmw,3 series,2008,2010,10,1,2015,1,14,1566,0
43,38,149467,OH,500/1000,1000,1601.47,0,465764,MALE,PhD,,skydiving,other-relative,64400,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,SC,columbus,2903 weaver drive,1,3,YES,2,2,NO,61650,6850,6850,47950,nissan,ultima,2006,2014,3,11,2015,2,15,341,0
190,40,390381,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,,camping,other-relative,36900,-53700,Parked Car,Rear Collision,Trivial Damage,nan,SC,hillsdale,8404 embaracadero st,10,1,NO,2,1,YES,6300,630,630,5040,nissan,ultima,2001,2007,1,27,2015,2,2,2928,0
103,33,361829,OH,500/1000,2000,1021.14,0,618418,FEMALE,Masters,,paintball,wife,69500,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,northbend,4176 britain hwy,1,3,NO,2,3,NO,79090,14380,14380,50330,dodge,ram,2014,1994,9,17,2015,1,19,7429,0
143,30,250249,IN,100/300,500,1392.39,5000000,436499,FEMALE,High School,,dancing,unmarried,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,riverwood,3323 1st lane,16,1,NO,2,0,YES,54300,10860,5430,38010,toyota,highlander,2010,1991,11,28,2015,1,12,8446,0
160,37,921202,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,,yachting,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,northbrook,3842 solo ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,accura,tl,2015,2014,12,28,2015,1,19,22,0
86,28,613226,IN,100/300,2000,1595.07,0,439304,MALE,PhD,,hiking,unmarried,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,hillsdale,6945 texas hwy,19,1,YES,0,2,YES,70920,11820,11820,47280,jeep,wrangler,2002,1991,8,22,2015,2,23,8586,0
101,32,223404,IL,250/500,500,895.14,0,439964,MALE,JD,sale,,other-relative,52600,-30400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,columbus,2352 mlk drive,4,1,NO,0,3,YES,43600,8720,4360,30520,suburu,legacy,2010,2002,1,23,2015,1,10,4735,0
339,49,840806,IN,500/1000,2000,1570.77,0,441142,MALE,JD,,paintball,not-in-family,98800,-65300,Vehicle Theft,Rear Collision,Minor Damage,nan,SC,columbus,2193 4th ridge,13,1,NO,0,3,NO,6820,1240,620,4960,mercedes,ml350,2009,1994,2,14,2015,1,18,7643,0
270,45,166264,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,springfield,2078 3rd ave,18,3,NO,1,1,YES,89400,14900,7450,67050,suburu,legacy,1998,2010,1,12,2015,1,14,1828,0
56,29,302669,IL,100/300,1000,1523.17,0,610479,MALE,Masters,,movie,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,northbend,2494 andromedia drive,10,3,NO,1,2,YES,94560,7880,15760,70920,jeep,grand cherokee,1995,2006,6,29,2015,2,21,3159,0
9,24,326180,IL,100/300,2000,1304.46,0,473349,FEMALE,PhD,,golf,other-relative,51700,-33300,Vehicle Theft,Rear Collision,Trivial Damage,nan,NC,arlington,6939 3rd hwy,6,1,NO,0,3,YES,5940,540,1080,4320,audi,a5,2001,2002,5,25,2015,1,31,4634,1
289,45,943425,OH,250/500,2000,1221.41,0,466289,FEMALE,Masters,,movie,wife,46700,-72500,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,riverwood,8742 4th st,9,1,NO,2,1,NO,2700,300,300,2100,honda,accord,2006,1999,10,28,2015,2,27,5601,0
117,28,336047,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,,yachting,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,springfield,4058 tree drive,13,2,YES,0,1,NO,55440,5040,10080,40320,suburu,forrestor,2009,2003,4,21,2015,2,5,4308,1
369,55,577810,OH,250/500,2000,1589.54,0,444734,MALE,College,,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,arlington,9373 pine hwy,6,3,NO,2,0,YES,85300,17060,8530,59710,toyota,highlander,2003,2013,4,15,2015,1,27,652,0
458,62,533940,IL,500/1000,2000,1356.92,5000000,441714,MALE,Associate,,,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,arlington,6128 elm lane,2,1,NO,0,1,YES,46980,5220,5220,36540,audi,a5,1998,2011,11,18,2015,2,26,1196,0
285,41,186934,IL,100/300,1000,1436.79,0,608177,FEMALE,PhD,,sleeping,wife,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,northbend,3092 texas drive,23,1,YES,2,3,NO,108480,18080,18080,72320,volkswagen,passat,2015,2014,1,5,2015,1,24,384,0
211,38,752504,IN,250/500,1000,1055.09,0,433250,FEMALE,Masters,,,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,columbus,3061 francis hwy,12,1,NO,0,3,YES,91520,8320,16640,66560,bmw,x6,2005,1997,5,15,2015,1,27,6466,1
178,39,305758,IL,100/300,500,1035.99,0,465252,FEMALE,JD,,sleeping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,springfield,6137 mlk st,3,3,NO,2,0,NO,64680,11760,11760,41160,jeep,wrangler,2010,2009,3,8,2015,1,17,2141,0
230,41,736771,IN,100/300,1000,1464.03,0,444797,MALE,JD,,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,springfield,1914 francis st,19,3,NO,2,0,NO,53040,4420,4420,44200,audi,a3,2006,1991,12,14,2015,2,8,8457,0
76,24,700074,OH,250/500,1000,1622.67,0,600313,FEMALE,MD,,paintball,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,riverwood,6256 elm st,6,3,NO,1,1,NO,74700,14940,7470,52290,suburu,forrestor,1997,2011,6,6,2015,2,18,1353,0
19,32,882920,OH,500/1000,1000,1215.85,0,454985,MALE,High School,,hiking,husband,42900,-90200,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,hillsdale,6165 rock ridge,8,1,YES,1,1,YES,7040,1280,640,5120,nissan,maximum,2015,2006,1,1,2015,1,2,3288,0
153,34,798177,IL,500/1000,1000,873.64,4000000,432934,FEMALE,Associate,,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,columbus,9489 3rd st,9,3,NO,2,1,NO,68400,11400,11400,45600,ford,f150,2007,2006,3,4,2015,1,30,3254,0
138,33,296960,IL,250/500,500,1362.87,5000000,445904,FEMALE,JD,,paintball,own-child,56900,-56900,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,springfield,6889 cherokee st,6,1,NO,2,0,NO,95810,14740,14740,66330,bmw,x5,2007,1997,1,18,2015,2,24,6611,0
429,56,804410,OH,250/500,1000,1127.89,6000000,460722,MALE,Associate,,skydiving,own-child,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,springfield,5639 1st ridge,0,1,YES,2,0,YES,39480,6580,6580,26320,suburu,forrestor,2002,1998,12,12,2015,1,28,5891,0
7,21,204294,IN,500/1000,1000,1342.72,0,445638,MALE,Associate,,camping,wife,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,hillsdale,2654 elm drive,21,1,NO,1,2,NO,62460,6940,6940,48580,honda,accord,2003,1991,11,16,2015,2,10,8487,0
218,43,737483,IL,250/500,500,1521.55,0,477856,FEMALE,Associate,,polo,other-relative,61100,-64500,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,hillsdale,3847 elm hwy,18,1,NO,1,3,YES,68200,13640,6820,47740,dodge,ram,2003,1996,2,14,2015,1,2,6897,1
175,36,155604,OH,500/1000,500,1185.44,0,437580,MALE,Masters,,kayaking,not-in-family,44900,-52500,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,northbend,4477 5th ave,15,3,YES,2,1,YES,42680,3880,7760,31040,accura,rsx,2006,1992,3,3,2015,1,30,8368,1
151,37,898573,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,,dancing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,northbrook,6429 4th hwy,0,1,YES,1,1,NO,38830,3530,3530,31770,suburu,legacy,1999,1992,8,7,2015,2,8,8220,0
6,27,463727,OH,250/500,500,1075.71,0,604328,FEMALE,High School,,dancing,unmarried,0,-47400,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,columbus,7615 weaver drive,7,1,NO,0,1,YES,3190,580,290,2320,saab,95,2015,1992,8,5,2015,2,17,8231,0
179,32,931901,OH,100/300,1000,1433.42,6000000,608328,FEMALE,Associate,,,own-child,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,arlington,7897 lincoln st,4,1,YES,1,2,NO,54200,5420,10840,37940,nissan,ultima,2014,1994,8,7,2015,1,22,7473,1
224,40,914088,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sale,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,northbend,3220 rock drive,21,1,NO,1,0,YES,69840,7760,15520,46560,dodge,neon,2009,1990,2,8,2015,1,8,9100,0
210,37,218684,IN,500/1000,2000,1048.46,0,466676,MALE,High School,,skydiving,not-in-family,59900,0,Vehicle Theft,Rear Collision,Trivial Damage,nan,OH,columbus,3878 tree lane,9,1,NO,1,2,NO,7080,1180,590,5310,dodge,ram,1999,2006,8,5,2015,1,5,3075,0
435,60,593466,OH,500/1000,500,1064.49,5000000,462804,MALE,Associate,,chess,other-relative,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,arlington,4492 andromedia ave,23,1,NO,2,1,NO,62880,5240,10480,47160,mercedes,e400,2007,2006,11,21,2015,2,13,3006,1
61,23,127754,IL,250/500,2000,1136.83,4000000,471300,FEMALE,Associate,,exercise,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,columbus,1331 britain hwy,14,1,NO,0,3,NO,98340,8940,17880,71520,honda,accord,2004,1993,6,6,2015,2,2,7911,1
190,38,601042,OH,250/500,500,1246.03,0,442919,MALE,JD,,movie,unmarried,61900,-50000,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,riverwood,4885 oak lane,14,1,YES,0,0,NO,45100,9020,4510,31570,nissan,maximum,2013,2007,9,19,2015,1,28,2688,0
